Parity_ID,Semantic_Object,JSON_Object,Workbook_Sheet,DOCX_Section,Web_Section,Parity_Rule
PAR-01,Assessment metadata,assessment_metadata,System Profile,1. Assessment metadata,Assessment metadata,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-02,Exact system profile,system_profile,System Profile / Components / Classification / Actors,2–3. Exact system and classification,System and classification,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-03,Deployment state and future-use gates,deployment_state,Deployment & Gates,4. Deployment state and future-use gates,Deployment and gates,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-04,Profile and escalators,profile_selection,Profile Selection,5. Profile selection,Profile selection,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-05,Claims and public-claim provenance,claim_register[],Claims,6. Claims,Claims,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-06,Evidence and access states,evidence_register[],Evidence Register,7. Evidence and access state,Evidence,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-07,Configuration relationships,configuration_relationships[],Configuration Relations,8. Configuration and source relations,Configuration relations,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-08,Source-version relationships,source_version_relationships[],Source Versions,8. Configuration and source relations,Source versions,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-09,Provenance discrepancies,provenance_discrepancies[],Provenance Integrity,9. Provenance integrity,Provenance integrity,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-10,Configuration epochs,configuration_epochs[],Configuration Epochs,10. Longitudinal configuration epochs,Configuration epochs,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-11,Denominators,denominator_register[],Denominators,11. Denominators,Denominators,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-12,Endpoints,endpoint_register[],Endpoints,12. Endpoints,Endpoints,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-13,Functional contributions,functional_contribution_register[],Contributions,13. Functional contribution,Contributions,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-14,Independence axes,independence_assessment[],Independence,14. Independence,Independence,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-15,Latency,latency_register[],Latency,15. Latency,Latency,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-16,Control authority,control_authority_register[],Control Authority,16. Control authority,Control authority,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-17,Operational burden,operational_burden_register[],Operational Burden,17. Operational burden,Operational burden,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-18,Update lineage,update_lineage_register[],Update Lineage,18. Update lineage,Update lineage,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-19,Participant authority,participant_authority_register[],Participant Authority,19. Participant authority,Participant authority,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-20,Postmarket exposure,postmarket_exposure_register[],Postmarket Exposure,20. Postmarket exposure,Postmarket exposure,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-21,Reproducibility tiers,reproducibility_register[],Reproducibility,21. Reproducibility,Reproducibility,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-22,Requirement findings,requirement_findings[],Requirement Findings,22. Requirement findings,Requirement findings,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-23,Evidence gaps and requests,gap_register[],Gaps & Requests,23. Gaps and requests,Gaps and requests,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-24,Typed decisions,decision_register[],Decision Register,24. Typed decisions,Decision register,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
PAR-25,Legacy decision and migration,legacy_bounded_decision / migration_provenance,Migration,25. Migration and historical preservation,Migration,"Same field identifiers, controlled vocabulary, required state, interpretation, and migration boundary across all formats."
